Inlet Temp       | no reading        | ns
Outlet Temp      | 35 degrees C      | ok
CPU1 Core Rem    | 65 degrees C      | ok
CPU2 Core Rem    | 48 degrees C      | ok
CPU1 MEM Temp    | 37 degrees C      | ok
CPU2 MEM Temp    | 30 degrees C      | ok
Power            | 276 Watts         | ok
Disks Temp       | 31 degrees C      | ok
HDD MAX Temp     | 31 degrees C      | ok
SSD MAX Temp     | no reading        | ns
NIC OM Temp      | no reading        | ns
RAID Temp        | 41 degrees C      | ok
NIC1 Temp        | 36 degrees C      | ok
Power2           | 276 Watts         | ok
PS2 VIN          | 220 Volts         | ok
PS2 IIn          | 1.20 Amps         | ok
PS2 IOut         | 20.52 Amps        | ok
PS2 POut         | 245 Watts         | ok
PS2 Temp         | 47 degrees C      | ok
PS2 Inlet Temp   | 30 degrees C      | ok
SYS 12V_2        | 12.06 Volts       | ok
SYS 12V_3        | 12.06 Volts       | ok
SYS 12V_4        | 12 Volts          | ok
SYS 12V_5        | 11.94 Volts       | ok
SYS 12V_6        | 12.06 Volts       | ok
CPU1 N_VDDAVS    | 0.91 Volts        | ok
CPU2 N_VDDAVS    | 0.89 Volts        | ok
CPU1 VDDQ_AB     | 1.25 Volts        | ok
CPU1 VDDQ_CD     | 1.25 Volts        | ok
CPU2 VDDQ_AB     | 1.25 Volts        | ok
CPU2 VDDQ_CD     | 1.23 Volts        | ok
CPU1 VDDQ Temp   | 38 degrees C      | ok
CPU2 VDDQ Temp   | 38 degrees C      | ok
CPU1 VRD Temp    | 41 degrees C      | ok
CPU2 VRD Temp    | 37 degrees C      | ok
CPU1 VDDAVS      | 0.88 Volts        | ok
CPU2 VDDAVS      | 0.88 Volts        | ok
CPU1 VDDFIX      | 0.80 Volts        | ok
CPU2 VDDFIX      | 0.80 Volts        | ok
CPU1 HVCC        | 1.20 Volts        | ok
CPU2 HVCC        | 1.19 Volts        | ok
FAN1 Speed       | no reading        | ns
FAN2 Speed       | 11475 RPM         | ok
FAN3 Speed       | 11550 RPM         | ok
FAN4 Speed       | no reading        | ns
CPU1 Prochot     | 0x00              | ok
CPU2 Prochot     | 0x00              | ok
System Notice    | 0x00              | ok
System Error     | 0x00              | ok
CPU1 Status      | 0x00              | ok
CPU2 Status      | 0x00              | ok
CPU1 Memory      | 0x00              | ok
CPU2 Memory      | 0x00              | ok
DIMM000          | 0x00              | ok
DIMM001          | 0x00              | ok
DIMM010          | 0x00              | ok
DIMM011          | 0x00              | ok
DIMM020          | 0x00              | ok
DIMM021          | 0x00              | ok
DIMM030          | 0x00              | ok
DIMM031          | 0x00              | ok
DIMM040          | 0x00              | ok
DIMM041          | 0x00              | ok
DIMM050          | 0x00              | ok
DIMM051          | 0x00              | ok
DIMM060          | 0x00              | ok
DIMM061          | 0x00              | ok
DIMM070          | 0x00              | ok
DIMM071          | 0x00              | ok
DIMM100          | 0x00              | ok
DIMM101          | 0x00              | ok
DIMM110          | 0x00              | ok
DIMM111          | 0x00              | ok
DIMM120          | 0x00              | ok
DIMM121          | 0x00              | ok
DIMM130          | 0x00              | ok
DIMM131          | 0x00              | ok
DIMM140          | 0x00              | ok
DIMM141          | 0x00              | ok
DIMM150          | 0x00              | ok
DIMM151          | 0x00              | ok
DIMM160          | 0x00              | ok
DIMM161          | 0x00              | ok
DIMM170          | 0x00              | ok
DIMM171          | 0x00              | ok
PCIE Status      | 0x00              | ok
ACPI State       | 0x00              | ok
SysFWProgress    | 0x00              | ok
Power Button     | 0x00              | ok
SysRestart       | 0x00              | ok
Boot Error       | 0x00              | ok
