   1 | 09/29/2025 | 19:25:03 | Event Logging Disabled #0x7b | Log area reset/cleared | Asserted
   2 | 09/29/2025 | 19:25:20 | Memory #0x42 | Presence Detected | Deasserted
   3 | 09/29/2025 | 19:25:20 | Memory #0x43 | Presence Detected | Deasserted
   4 | 09/29/2025 | 19:25:20 | Memory #0x44 | Presence Detected | Deasserted
   5 | 09/29/2025 | 19:25:20 | Memory #0x45 | Presence Detected | Deasserted
   6 | 09/29/2025 | 19:25:20 | Memory #0x46 | Presence Detected | Deasserted
   7 | 09/29/2025 | 19:25:20 | Memory #0x47 | Presence Detected | Deasserted
   8 | 09/29/2025 | 19:25:20 | System ACPI Power State #0x63 | S4/S5: soft-off | Asserted
   9 | 09/29/2025 | 19:25:20 | Memory #0x48 | Presence Detected | Deasserted
   a | 09/29/2025 | 19:25:21 | Memory #0x49 | Presence Detected | Deasserted
   b | 09/29/2025 | 19:25:21 | Memory #0x4a | Presence Detected | Deasserted
   c | 09/29/2025 | 19:25:21 | Memory #0x4b | Presence Detected | Deasserted
   d | 09/29/2025 | 19:25:21 | Memory #0x4c | Presence Detected | Deasserted
   e | 09/29/2025 | 19:25:21 | Memory #0x4d | Presence Detected | Deasserted
   f | 09/29/2025 | 19:25:21 | Memory #0x4e | Presence Detected | Deasserted
  10 | 09/29/2025 | 19:25:21 | Memory #0x4f | Presence Detected | Deasserted
  11 | 09/29/2025 | 19:25:21 | Memory #0x50 | Presence Detected | Deasserted
  12 | 09/29/2025 | 19:25:21 | Memory #0x51 | Presence Detected | Deasserted
  13 | 09/29/2025 | 19:25:21 | Memory #0x52 | Presence Detected | Deasserted
  14 | 09/29/2025 | 19:25:21 | Memory #0x53 | Presence Detected | Deasserted
  15 | 09/29/2025 | 19:25:22 | Memory #0x54 | Presence Detected | Deasserted
  16 | 09/29/2025 | 19:25:22 | Memory #0x55 | Presence Detected | Deasserted
  17 | 09/29/2025 | 19:25:22 | Memory #0x56 | Presence Detected | Deasserted
  18 | 09/29/2025 | 19:25:22 | Memory #0x57 | Presence Detected | Deasserted
  19 | 09/29/2025 | 19:25:22 | Memory #0x58 | Presence Detected | Deasserted
  1a | 09/29/2025 | 19:25:22 | Memory #0x59 | Presence Detected | Deasserted
  1b | 09/29/2025 | 19:25:22 | Memory #0x5a | Presence Detected | Deasserted
  1c | 09/29/2025 | 19:25:22 | Memory #0x5b | Presence Detected | Deasserted
  1d | 09/29/2025 | 19:25:22 | Memory #0x5c | Presence Detected | Deasserted
  1e | 09/29/2025 | 19:25:22 | Memory #0x5d | Presence Detected | Deasserted
  1f | 09/29/2025 | 19:25:22 | Memory #0x5e | Presence Detected | Deasserted
  20 | 09/29/2025 | 19:25:22 | Memory #0x5f | Presence Detected | Deasserted
  21 | 09/29/2025 | 19:25:22 | Memory #0x60 | Presence Detected | Deasserted
  22 | 09/29/2025 | 19:25:22 | Memory #0x61 | Presence Detected | Deasserted
  23 | 09/29/2025 | 19:25:37 | Slot / Connector #0x91 | Slot is Disabled | Asserted
  24 | 09/29/2025 | 19:25:37 | Slot / Connector #0x92 | Slot is Disabled | Asserted
  25 | 09/29/2025 | 19:25:37 | Slot / Connector #0x93 | Slot is Disabled | Asserted
  26 | 09/29/2025 | 19:25:37 | Slot / Connector #0x94 | Slot is Disabled | Asserted
  27 | 09/29/2025 | 19:25:37 | Slot / Connector #0x95 | Slot is Disabled | Asserted
  28 | 09/29/2025 | 19:25:37 | Slot / Connector #0x96 | Slot is Disabled | Asserted
  29 | 09/29/2025 | 19:25:37 | Slot / Connector #0x97 | Slot is Disabled | Asserted
  2a | 09/29/2025 | 19:25:37 | Slot / Connector #0x98 | Slot is Disabled | Asserted
  2b | 06/04/2026 | 21:35:29 | System Boot Initiated #0x60 | System Restart | Asserted
  2c | 06/04/2026 | 21:35:29 | System ACPI Power State #0x64 | S0/G0: working | Asserted
  2d | 06/04/2026 | 21:35:32 | Add-in Card #0x71 | Device Present | Asserted
  2e | 06/04/2026 | 21:35:32 | Add-in Card #0x75 | Device Present | Asserted
  2f | 06/04/2026 | 21:35:32 | Processor #0x3f | Presence detected | Asserted
  30 | 06/04/2026 | 21:35:32 | Processor #0x40 | Presence detected | Asserted
  31 | 06/04/2026 | 21:35:32 | Microcontroller #0x79 | Device Enabled | Asserted
  32 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x85 | Drive Present | Asserted
  33 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x86 | Drive Present | Asserted
  34 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x87 | Drive Present | Asserted
  35 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x88 | Drive Present | Asserted
  36 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x89 | Drive Present | Asserted
  37 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x8a | Drive Present | Asserted
  38 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x8b | Drive Present | Asserted
  39 | 06/04/2026 | 21:35:33 | Drive Slot / Bay #0x8c | Drive Present | Asserted
  3a | 06/04/2026 | 21:35:33 | Power Supply #0x99 | Presence detected | Asserted
  3b | 06/04/2026 | 21:35:33 | Power Supply #0x99 | Power Supply AC lost | Asserted
  3c | 06/04/2026 | 21:35:33 | Power Supply #0x9c | Presence detected | Asserted
  3d | 06/04/2026 | 21:35:41 | Slot / Connector #0x95 | Slot is Disabled | Asserted
  3e | 06/04/2026 | 21:35:41 | Slot / Connector #0x96 | Slot is Disabled | Asserted
  3f | 06/04/2026 | 21:35:41 | Slot / Connector #0x97 | Slot is Disabled | Asserted
  40 | 06/04/2026 | 21:35:41 | Slot / Connector #0x98 | Slot is Disabled | Asserted
  41 | 06/04/2026 | 21:37:45 | Memory #0x43 | Presence Detected | Asserted
  42 | 06/04/2026 | 21:37:45 | Memory #0x45 | Presence Detected | Asserted
  43 | 06/04/2026 | 21:37:46 | Memory #0x47 | Presence Detected | Asserted
  44 | 06/04/2026 | 21:37:46 | Memory #0x49 | Presence Detected | Asserted
  45 | 06/04/2026 | 21:37:46 | Memory #0x4b | Presence Detected | Asserted
  46 | 06/04/2026 | 21:37:46 | Memory #0x4d | Presence Detected | Asserted
  47 | 06/04/2026 | 21:37:46 | Memory #0x4f | Presence Detected | Asserted
  48 | 06/04/2026 | 21:37:47 | Memory #0x51 | Presence Detected | Asserted
  49 | 06/04/2026 | 21:37:47 | Memory #0x53 | Presence Detected | Asserted
  4a | 06/04/2026 | 21:37:47 | Memory #0x55 | Presence Detected | Asserted
  4b | 06/04/2026 | 21:37:47 | Memory #0x57 | Presence Detected | Asserted
  4c | 06/04/2026 | 21:37:47 | Memory #0x59 | Presence Detected | Asserted
  4d | 06/04/2026 | 21:37:47 | Memory #0x5b | Presence Detected | Asserted
