--- sample 1 @ 19:21:10 ---
CPU1 Core Rem    | 04h | ok  |  3.96 | 66 degrees C
CPU2 Core Rem    | 05h | ok  |  3.97 | 48 degrees C
CPU1 MEM Temp    | 0Eh | ok  | 37.96 | 37 degrees C
CPU2 MEM Temp    | 0Fh | ok  | 37.97 | 30 degrees C
CPU1 VDDQ Temp   | 2Ah | ok  |  3.96 | 38 degrees C
CPU2 VDDQ Temp   | 2Bh | ok  |  3.97 | 38 degrees C
CPU1 VRD Temp    | 2Ch | ok  |  3.96 | 41 degrees C
CPU2 VRD Temp    | 2Dh | ok  |  3.97 | 37 degrees C
--- sample 2 @ 19:21:26 ---
CPU1 Core Rem    | 04h | ok  |  3.96 | 65 degrees C
CPU2 Core Rem    | 05h | ok  |  3.97 | 48 degrees C
CPU1 MEM Temp    | 0Eh | ok  | 37.96 | 37 degrees C
CPU2 MEM Temp    | 0Fh | ok  | 37.97 | 30 degrees C
CPU1 VDDQ Temp   | 2Ah | ok  |  3.96 | 37 degrees C
CPU2 VDDQ Temp   | 2Bh | ok  |  3.97 | 38 degrees C
CPU1 VRD Temp    | 2Ch | ok  |  3.96 | 41 degrees C
CPU2 VRD Temp    | 2Dh | ok  |  3.97 | 37 degrees C
--- sample 3 @ 19:21:42 ---
CPU1 Core Rem    | 04h | ok  |  3.96 | 65 degrees C
CPU2 Core Rem    | 05h | ok  |  3.97 | 48 degrees C
CPU1 MEM Temp    | 0Eh | ok  | 37.96 | 37 degrees C
CPU2 MEM Temp    | 0Fh | ok  | 37.97 | 30 degrees C
CPU1 VDDQ Temp   | 2Ah | ok  |  3.96 | 37 degrees C
CPU2 VDDQ Temp   | 2Bh | ok  |  3.97 | 38 degrees C
CPU1 VRD Temp    | 2Ch | ok  |  3.96 | 41 degrees C
CPU2 VRD Temp    | 2Dh | ok  |  3.97 | 37 degrees C
