# image-manifest.tsv — 容器镜像构建追溯表。列说明:
# sp-tag | input-hash | containerfile-sha | rpm-pin | macro | quay-base | image-digest | local? | remote? | built-date | size-MB
# 由 build-images.sh 自动维护。input-hash 变化触发重建。
sp-tag	input-hash	containerfile-sha	rpm-pin	macro	quay-base	image-digest	local	remote	built-date	size-MB
24.03-LTS-SP4	94312d2dec5adaa31343d8742cc3665014980f0b8590d5f162796bcc8cf27811	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	38672e8809a99187feba03ce8ccc7a692d1abe13	none	24.03-lts-sp4	sha256:741d6de13fa5624ca6dfb7c3ebec34e59db589c7d09f81c24d8e638c3f5ed642	yes	no	2026-09-12 01:31:53	1529
24.03-LTS	6c9b425afe4804217e7e3ba888340c736b107c7512adb126fd9332986ac6fe9d	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	38672e8809a99187feba03ce8ccc7a692d1abe13	none	24.03-lts	sha256:82c60ebfc4bcd4445d5faa34326022e40431aeec880a4489883be8b3f4993c3c	yes	no	2026-09-12 01:39:52	1481
24.03-LTS-SP1	f3e8df026b278c7c214f734203fb29fcb6a0bd9c57078b6586d97f37f3cc24a9	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	38672e8809a99187feba03ce8ccc7a692d1abe13	none	24.03-lts-sp1	sha256:96618af2b125d752c1aa4152360802d5672fd990d478f9fb0fc8ba6f05b00821	yes	no	2026-09-12 01:45:47	1482
24.03-LTS-SP2	f4d80e08f30a47df92cef814dd8ee4a2c3e2b16a0fa4a6c398c37a16ef670b00	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	38672e8809a99187feba03ce8ccc7a692d1abe13	none	24.03-lts-sp2	sha256:79e1d66766ecde70a5b99ccffd2ed7557c3e0e39eb027bf237f765ff58bdd9bd	yes	no	2026-09-12 01:52:52	1486
24.03-LTS-SP3	0d86c49a719a3523da332017b806327e99d5069ca102aa0b66f20b9e160e2dd9	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	38672e8809a99187feba03ce8ccc7a692d1abe13	none	24.03-lts-sp3	sha256:09199184816da84d37c5bd530973a22be4b641d9db85790baa3fe9fc72da1e24	yes	no	2026-09-12 01:59:06	1545
22.03-LTS	5492cf60f7784f4c16dc103ca71af3418ea13c2a147452d69c45896315737c83	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	95061118fc967d01e8fc75d276cad2b5f744ddd6	OPENEULER_22_03	22.03-lts	sha256:512001c375b2f993cbe47551bff16a22ac1591233298b8d388ea963228b97a67	yes	no	2026-09-12 02:14:52	1637
22.03-LTS-SP1	cd9d25a7f3bc6377ebd87e6bb89901534686c8711dceabb61f3030c836d22b61	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	95061118fc967d01e8fc75d276cad2b5f744ddd6	OPENEULER_22_03	22.03-lts-sp1	sha256:ebdaf671692b67940f3a80a0a8739819a3814c8eeb90947c716960a1a559575a	yes	no	2026-09-12 02:25:30	1570
22.03-LTS-SP2	55f4f032b413bd52615f715eb26fe970fca4827efe00bffedd1ebc6cb513d47d	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	95061118fc967d01e8fc75d276cad2b5f744ddd6	OPENEULER_22_03	22.03-lts-sp2	sha256:74ebc88f778ceb9a6b5b4dc9fb1dcd5dc4ac6eb78dba1f0897a0728ef2ab43e5	yes	no	2026-09-12 02:32:23	1540
22.03-LTS-SP3	db2628e3968888f58f3904fee7c5d302b5266efbd8dfc7f9e8da72966aaaad04	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	95061118fc967d01e8fc75d276cad2b5f744ddd6	OPENEULER_22_03	22.03-lts-sp3	sha256:f584f9b43714e8c26fc825fa597b0df6c9b724607ffcb0abd226f8ac66d762fc	yes	no	2026-09-12 02:39:34	1361
22.03-LTS-SP4	28bd5da03c815c7f118e66dc31473b0feca1a283133de9e3ef22f6aa4e137ddd	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	95061118fc967d01e8fc75d276cad2b5f744ddd6	OPENEULER_22_03	22.03-lts-sp4	sha256:2e2138c632f4cc55c4e482a4f5d889c7ea0333cf8288f9cb5cd3d9c4151c4c1e	yes	no	2026-09-12 02:46:54	1343
20.03-LTS	af76e71720b565260bee0360de19459a0646380d426706d31d8b3b804f5bf126	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	31e46d09df1326ac34452d8a5caf1c2bcf7e721c	OPENEULER_20_03	20.03-lts	sha256:97698f2959a193330ffc4bda795818f5d5d2c9393a64de7f23ea57454e90837f	yes	no	2026-09-12 02:55:07	2891
20.03-LTS-SP1	d954c07b6dbb2d9acebc506d4126916814324bd16993a963e54461218ab87fa7	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	31e46d09df1326ac34452d8a5caf1c2bcf7e721c	OPENEULER_20_03	20.03-lts-sp1	sha256:e47d6b88227a662931f9c5d8986c6f2ef4d5a865a4480572124bfd3b8c0ecd2c	yes	no	2026-09-12 03:03:38	2516
20.03-LTS-SP2	255dbb8699d3a058f50b70890910bf1dce81f0fdddf31423d354f2b0eacdf8b6	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	31e46d09df1326ac34452d8a5caf1c2bcf7e721c	OPENEULER_20_03	20.03-lts-sp2	sha256:3355dd84de938cb04c7577ae81ea0e138c4f0193f73e7f746ddc8b775b34dfe3	yes	no	2026-09-12 03:12:13	2334
20.03-LTS-SP3	64b18a8f4c24af5bbabbcd55d1b58f52265ee238128abcedaac577470be8a432	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	31e46d09df1326ac34452d8a5caf1c2bcf7e721c	OPENEULER_20_03	20.03-lts-sp3	sha256:a4d7e31b154de4eebc498b201467743db6023ce97977a9a1a5f689bf591c2085	yes	no	2026-09-12 03:21:04	2870
20.03-LTS-SP4	6ec7993f3192df49cb4ab5021fb9cc71494d67450c6c2f83f3af9b590afdf39f	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	31e46d09df1326ac34452d8a5caf1c2bcf7e721c	OPENEULER_20_03	20.03-lts-sp4	sha256:c6a53abcba97da0fbef7513803df783df4ccc2ba5038fe914f2efb4eeaf2fe6b	yes	no	2026-09-12 03:29:36	2171
